iter	Logloss
0	0.6861122404
1	0.6790871778
2	0.6701493508
3	0.6611807164
4	0.6546721214
5	0.6459544562
6	0.6380807748
7	0.6298474684
8	0.6229301159
9	0.6162706439
10	0.6083122575
11	0.602517436
12	0.5961395353
13	0.5897893095
14	0.5834001337
15	0.5769543635
16	0.5703482332
17	0.5645959567
18	0.5580476974
19	0.5522859927
20	0.5464780405
21	0.5418675004
22	0.5357875213
23	0.5304755346
24	0.5239607286
25	0.519351326
26	0.5138368576
27	0.509497458
28	0.5044973474
29	0.4994536025
30	0.4944571023
31	0.4899126268
32	0.4856865987
33	0.4815614249
34	0.4768360995
35	0.4716216851
36	0.4682256417
37	0.4631831756
38	0.4593123972
39	0.4555664706
40	0.4511686574
41	0.4485375752
42	0.4457052727
43	0.4420085201
44	0.4371403922
45	0.4339075386
46	0.4294800064
47	0.4258846661
48	0.4230296901
49	0.4185595551
50	0.4155790393
51	0.4124459402
52	0.4082870868
53	0.4044942997
54	0.4005192482
55	0.3965410742
56	0.3937222958
57	0.3901515048
58	0.387231949
59	0.3840801795
60	0.3804782037
61	0.3776363857
62	0.374277538
63	0.3715322916
64	0.3684461197
65	0.365550954
66	0.3630368662
67	0.3603003522
68	0.3584749212
69	0.3560802692
70	0.3539626143
71	0.3509241922
72	0.3488016105
73	0.3462725019
74	0.3432859737
75	0.3412854692
76	0.3392691184
77	0.3369911853
78	0.3348151203
79	0.3330403697
80	0.3300095042
81	0.3282316396
82	0.3258399411
83	0.3237909847
84	0.3220268998
85	0.3198731773
86	0.3172785069
87	0.315433601
88	0.3140728229
89	0.312199225
90	0.3099697201
91	0.3084841328
92	0.3067142233
93	0.3044675115
94	0.3026405467
95	0.3007839839
96	0.2990125196
97	0.2974118504
98	0.2959479314
99	0.2941512421
100	0.2921895896
101	0.2902074735
102	0.2889484109
103	0.2873462734
104	0.2859537279
105	0.2841498947
106	0.2827046274
107	0.2813036687
108	0.2799332455
109	0.2789770572
110	0.2778230499
111	0.2767666806
112	0.2756096644
113	0.2741532831
114	0.2721447753
115	0.2709061725
116	0.2696723617
117	0.268171076
118	0.2668309849
119	0.2652821796
120	0.2637564041
121	0.2625258066
122	0.2612329087
123	0.2600890385
124	0.2593091164
125	0.2576920896
126	0.2562183834
127	0.254731463
128	0.253299267
129	0.2524088505
130	0.2512240696
131	0.2502292391
132	0.2489771349
133	0.2475783989
134	0.2465004706
135	0.2456684931
136	0.244086732
137	0.2429381932
138	0.2420203737
139	0.2408681478
140	0.2396215993
141	0.2380292194
142	0.236833919
143	0.235674177
144	0.2344015463
145	0.2336124993
146	0.2326449389
147	0.2318340021
148	0.2313696332
149	0.2302067475
150	0.2287832787
151	0.2274801814
152	0.2263714483
153	0.2252355181
154	0.2244084495
155	0.2233361468
156	0.2221949367
157	0.2213508606
158	0.2205079878
159	0.2197682936
160	0.218797467
161	0.2179127658
162	0.2171273646
163	0.2163017738
164	0.2154594096
165	0.2150764366
166	0.21426323
167	0.2137748246
168	0.2130461764
169	0.2118726655
170	0.2111357113
171	0.2096905931
172	0.2091300087
173	0.2083893787
174	0.2077747717
175	0.2071467082
176	0.2064556517
177	0.2059131904
178	0.2053232415
179	0.2046289247
180	0.2043802521
181	0.2036551487
182	0.2035445615
183	0.2029608526
184	0.2023928813
185	0.2013568751
186	0.2004099528
187	0.1997248925
